pzn,name,active_ingredient,dosage_form,strength,prescription_only,price,manufacturer,atc_code
00000001,Sanavia Metformin,Metformin,tablet,200mg,true,14.71,Blauberg Labs,A10BA02
00000002,Rekura Metoclopramide,Metoclopramide,tablet,100mg,true,10.70,Greenfield Pharmaceuticals,A03FA01
00000003,Medo Morphine,Morphine,cream,5%,true,65.14,Alpenrose Labs,N02AA01
00000004,Sanavia Salbutamol,Salbutamol,injection,1ml,true,63.58,Rheinquell Pharma,R03AC02
00000005,Pharmatec Diazepam,Diazepam,capsule,250mg,true,10.61,Blauberg Labs,N05BA01
00000006,Novapex Fluoxetine,Fluoxetine,spray,100mcg,true,66.34,Blauberg Labs,N06AB03
00000007,Sanavia Erythromycin,Erythromycin,tablet,800mg,false,53.01,Blauberg Labs,J01FA01
00000008,Pharmatec Ibuprofen,Ibuprofen,drops,10ml,true,77.33,Blauberg Labs,M01AE01
00000009,Vitapharm Erythromycin,Erythromycin,solution,20mg/ml,false,16.73,Rheinquell Pharma,J01FA01
00000010,Sanavia Insulin,Insulin (human),drops,15ml,true,55.79,Vitalis Biotech,A10AB01
00000011,Pharmatec Metoclopramide,Metoclopramide,drops,5ml,false,35.70,Greenfield Pharmaceuticals,A03FA01
00000012,Medo Enalapril,Enalapril,spray,50mcg,true,72.93,Alpenrose Labs,C09AA02
00000013,Pharmatec Diazepam,Diazepam,tablet,500mg,false,21.10,Nordwind Biosciences,N05BA01
00000014,Vitapharm Erythromycin,Erythromycin,drops,5ml,false,14.72,Sonnenberg Medica,J01FA01
00000015,Rekura Lorazepam,Lorazepam,injection,2ml,true,89.76,Vitalis Biotech,N05BA06
00000016,Curalin Morphine,Morphine,injection,1ml,true,15.87,Vitalis Biotech,N02AA01
00000017,Curalin Metoprolol,Metoprolol,cream,2%,false,54.63,Nordwind Biosciences,C07AB02
00000018,Medo Morphine,Morphine,solution,20mg/ml,true,62.14,Sonnenberg Medica,N02AA01
00000019,Sanavia Enalapril,Enalapril,tablet,400mg,true,42.20,Sonnenberg Medica,C09AA02
00000020,Biovex Morphine,Morphine,spray,50mcg,false,76.14,Greenfield Pharmaceuticals,N02AA01
00000021,Biovex Omeprazole,Omeprazole,solution,20mg/ml,true,54.90,Nordwind Biosciences,A02BC01
00000022,Novapex Paracetamol,Paracetamol,tablet,250mg,true,7.57,Blauberg Labs,N02BE01
00000023,Vitapharm Amoxicillin,Amoxicillin,drops,5ml,true,13.73,Nordwind Biosciences,J01CA04
00000024,Sanavia Metoclopramide,Metoclopramide,capsule,500mg,false,86.87,Greenfield Pharmaceuticals,A03FA01
00000025,Novapex Loratadine,Loratadine,injection,2ml,false,13.09,Greenfield Pharmaceuticals,R06AX13
00000026,Medo Amoxicillin,Amoxicillin,solution,20mg/ml,true,53.98,Nordhealth Pharma,J01CA04
00000027,Medo Amoxicillin,Amoxicillin,drops,5ml,true,81.72,Rheinquell Pharma,J01CA04
00000028,Pharmatec Amoxicillin,Amoxicillin,cream,2%,false,21.24,Vitalis Biotech,J01CA04
00000029,Vitapharm Lorazepam,Lorazepam,cream,1%,false,73.15,Greenfield Pharmaceuticals,N05BA06
00000030,Rekura Metformin,Metformin,tablet,250mg,false,38.47,Nordhealth Pharma,A10BA02
00000031,Rekura Metformin,Metformin,tablet,800mg,false,72.54,Blauberg Labs,A10BA02
00000032,Pharmatec Salbutamol,Salbutamol,capsule,500mg,false,14.76,Vitalis Biotech,R03AC02
00000033,Pharmatec Diazepam,Diazepam,injection,1ml,false,73.19,Blauberg Labs,N05BA01
00000034,Medo Ibuprofen,Ibuprofen,drops,5ml,true,17.05,Nordwind Biosciences,M01AE01
00000035,Rekura Diclofenac,Diclofenac,capsule,100mg,true,35.66,Alpenrose Labs,M01AB05
00000036,Vitapharm Diazepam,Diazepam,spray,100mcg,false,63.44,Nordwind Biosciences,N05BA01
00000037,Sanavia Omeprazole,Omeprazole,capsule,200mg,true,53.17,Nordhealth Pharma,A02BC01
00000038,Medo Enalapril,Enalapril,tablet,500mg,false,46.49,Vitalis Biotech,C09AA02
00000039,Curalin Ibuprofen,Ibuprofen,cream,1%,true,54.56,Greenfield Pharmaceuticals,M01AE01
00000040,Pharmatec Erythromycin,Erythromycin,tablet,500mg,true,56.69,Alpenrose Labs,J01FA01
00000041,Novapex Lorazepam,Lorazepam,cream,2%,true,61.09,Rheinquell Pharma,N05BA06
00000042,Rekura Salbutamol,Salbutamol,solution,5mg/ml,false,42.50,Blauberg Labs,R03AC02
